"id","from_node_id","to_node_id"
47,1,50
44,45,46
45,47,48
1,50,2
2,50,3
3,50,4
4,50,5
5,50,6
6,50,7
7,50,8
8,50,9
9,50,10
10,50,11
11,50,12
12,50,13
13,50,14
14,50,15
15,50,16
16,50,17
17,50,18
18,50,19
19,50,20
20,50,21
21,50,22
22,50,23
23,50,24
24,50,25
25,50,26
26,50,27
27,50,28
28,50,29
29,50,30
30,50,31
31,50,32
32,50,33
33,50,34
34,50,35
35,50,36
36,50,37
37,50,38
38,50,39
39,50,40
40,50,41
41,50,42
42,50,43
43,50,44
46,50,49
48,50,51
49,50,52
50,50,53
51,50,54
52,50,55
53,50,58
54,50,59
55,50,60
56,50,61
57,50,62
58,50,63
59,50,64
60,50,65
61,50,66
62,50,67
63,50,68
64,50,69
65,50,70
66,50,71
67,50,72
68,50,73
69,50,74
70,50,75
